Paper_id;Audiogram_id;Species;Breed;Method;Notes;Sample.size;Individuum_ID;Sex;Life_stage;Age;Age_dimension;Freq;Dimension;Threshold_dB_mean;Threshold_dB_lower;Threshold_dB_upper;CI_type;Range_low;Range_high;Data_type;Threshold_dB_mean_extracted;Method_grouped;
1;P034;Canis lupus familiaris;domestic dog;Canis ;Canidae;Carnivora;Mammalia;Chihauhua, Dachshund, Poodle, Saint Bernard;BEHAVIORAL;4;;1000;Hz;14;;;;;;extracted;;BEHAVIORAL;mean of 4 dogs of different breeds
1;P034;Canis lupus familiaris;domestic dog;Canis ;Canidae;Carnivora;Mammalia;Chihauhua, Dachshund, Poodle, Saint Bernard;BEHAVIORAL;4;;125;Hz;44,2;;;;;;extracted;;BEHAVIORAL;mean of 4 dogs of different breeds
1;P034;Canis lupus familiaris;domestic dog;Canis ;Canidae;Carnivora;Mammalia;Chihauhua, Dachshund, Poodle, Saint Bernard;BEHAVIORAL;4;;16000;Hz;5,9;;;;;;extracted;;BEHAVIORAL;mean of 4 dogs of different breeds
1;P034;Canis lupus familiaris;domestic dog;Canis ;Canidae;Carnivora;Mammalia;Chihauhua, Dachshund, Poodle, Saint Bernard;BEHAVIORAL;4;;2000;Hz;8,8;;;;;;extracted;;BEHAVIORAL;mean of 4 dogs of different breeds
1;P034;Canis lupus familiaris;domestic dog;Canis ;Canidae;Carnivora;Mammalia;Chihauhua, Dachshund, Poodle, Saint Bernard;BEHAVIORAL;4;;250;Hz;28;;;;;;extracted;;BEHAVIORAL;mean of 4 dogs of different breeds
1;P034;Canis lupus familiaris;domestic dog;Canis ;Canidae;Carnivora;Mammalia;Chihauhua, Dachshund, Poodle, Saint Bernard;BEHAVIORAL;4;;32000;Hz;17,9;;;;;;extracted;;BEHAVIORAL;mean of 4 dogs of different breeds
1;P034;Canis lupus familiaris;domestic dog;Canis ;Canidae;Carnivora;Mammalia;Chihauhua, Dachshund, Poodle, Saint Bernard;BEHAVIORAL;4;;4000;Hz;4,2;;;;;;extracted;;BEHAVIORAL;mean of 4 dogs of different breeds
1;P034;Canis lupus familiaris;domestic dog;Canis ;Canidae;Carnivora;Mammalia;Chihauhua, Dachshund, Poodle, Saint Bernard;BEHAVIORAL;4;;40000;Hz;40;;;;;;extracted;;BEHAVIORAL;mean of 4 dogs of different breeds
1;P034;Canis lupus familiaris;domestic dog;Canis ;Canidae;Carnivora;Mammalia;Chihauhua, Dachshund, Poodle, Saint Bernard;BEHAVIORAL;4;;46000;Hz;56,9;;;;;;extracted;;BEHAVIORAL;mean of 4 dogs of different breeds
1;P034;Canis lupus familiaris;domestic dog;Canis ;Canidae;Carnivora;Mammalia;Chihauhua, Dachshund, Poodle, Saint Bernard;BEHAVIORAL;4;;50000;Hz;69,9;;;;;;extracted;;BEHAVIORAL;mean of 4 dogs of different breeds
1;P034;Canis lupus familiaris;domestic dog;Canis ;Canidae;Carnivora;Mammalia;Chihauhua, Dachshund, Poodle, Saint Bernard;BEHAVIORAL;4;;500;Hz;19,8;;;;;;extracted;;BEHAVIORAL;mean of 4 dogs of different breeds
1;P034;Canis lupus familiaris;domestic dog;Canis ;Canidae;Carnivora;Mammalia;Chihauhua, Dachshund, Poodle, Saint Bernard;BEHAVIORAL;4;;6300;Hz;1;;;;;;extracted;;BEHAVIORAL;mean of 4 dogs of different breeds
1;P034;Canis lupus familiaris;domestic dog;Canis ;Canidae;Carnivora;Mammalia;Chihauhua, Dachshund, Poodle, Saint Bernard;BEHAVIORAL;4;;63;Hz;62,1;;;;;;extracted;;BEHAVIORAL;mean of 4 dogs of different breeds
1;P034;Canis lupus familiaris;domestic dog;Canis ;Canidae;Carnivora;Mammalia;Chihauhua, Dachshund, Poodle, Saint Bernard;BEHAVIORAL;4;;8000;Hz;-1;;;;;;extracted;;BEHAVIORAL;mean of 4 dogs of different breeds
1;P043;Sturnus vulgaris;European starling;Sturnus ;Sturnidae;Passeriformes;Aves;;BEHAVIORAL;6;;4000;Hz;4,2;;;;1;5;measured;;BEHAVIORAL;
1;P043;Sturnus vulgaris;European starling;Sturnus ;Sturnidae;Passeriformes;Aves;;BEHAVIORAL;6;;500;Hz;18,4;;;;15;21;measured;;BEHAVIORAL;
1;P043;Sturnus vulgaris;European starling;Sturnus ;Sturnidae;Passeriformes;Aves;;BEHAVIORAL;6;;6000;Hz;8,7;;;;2;16;measured;;BEHAVIORAL;
1;P043;Sturnus vulgaris;European starling;Sturnus ;Sturnidae;Passeriformes;Aves;;BEHAVIORAL;6;;8000;Hz;42,9;;;;38;47;measured;;BEHAVIORAL;
1;P043;Sturnus vulgaris;European starling;Sturnus ;Sturnidae;Passeriformes;Aves;;BEHAVIORAL;6;;1000;Hz;10,6;;;;7;17;measured;;BEHAVIORAL;
1;P043;Sturnus vulgaris;European starling;Sturnus ;Sturnidae;Passeriformes;Aves;;BEHAVIORAL;6;;2000;Hz;10,5;;;;6;13;measured;;BEHAVIORAL;
1;P043;Sturnus vulgaris;European starling;Sturnus ;Sturnidae;Passeriformes;Aves;;BEHAVIORAL;6;;4000;Hz;6,5;;;;5;7;measured;;BEHAVIORAL;
1;P043;Sturnus vulgaris;European starling;Sturnus ;Sturnidae;Passeriformes;Aves;;BEHAVIORAL;6;;500;Hz;19,8;;;;13;27;measured;;BEHAVIORAL;
1;P043;Sturnus vulgaris;European starling;Sturnus ;Sturnidae;Passeriformes;Aves;;BEHAVIORAL;6;;6000;Hz;14,8;;;;11;18;measured;;BEHAVIORAL;
1;P043;Sturnus vulgaris;European starling;Sturnus ;Sturnidae;Passeriformes;Aves;;BEHAVIORAL;6;;8000;Hz;47,8;;;;45;50;measured;;BEHAVIORAL;
1;P051;Hyla cinerea;green treefrog;Hyla ;Hylidae;Anura;Amphibia;;BEHAVIORAL;1;;0,3;kHz;52;;;;;;extracted;;BEHAVIORAL;
1;P051;Hyla cinerea;green treefrog;Hyla ;Hylidae;Anura;Amphibia;;BEHAVIORAL;1;;0,6;kHz;38;;;;;;extracted;;BEHAVIORAL;
1;P051;Hyla cinerea;green treefrog;Hyla ;Hylidae;Anura;Amphibia;;BEHAVIORAL;1;;0,9;kHz;36;;;;;;extracted;;BEHAVIORAL;
1;P051;Hyla cinerea;green treefrog;Hyla ;Hylidae;Anura;Amphibia;;BEHAVIORAL;1;;1,2;kHz;44;;;;;;extracted;;BEHAVIORAL;
1;P051;Hyla cinerea;green treefrog;Hyla ;Hylidae;Anura;Amphibia;;BEHAVIORAL;1;;1,8;kHz;46;;;;;;extracted;;BEHAVIORAL;
1;P051;Hyla cinerea;green treefrog;Hyla ;Hylidae;Anura;Amphibia;;BEHAVIORAL;1;;2,9;kHz;38;;;;;;extracted;;BEHAVIORAL;
1;P051;Hyla cinerea;green treefrog;Hyla ;Hylidae;Anura;Amphibia;;BEHAVIORAL;1;;3,6;kHz;43;;;;;;extracted;;BEHAVIORAL;
1;P051;Hyla cinerea;green treefrog;Hyla ;Hylidae;Anura;Amphibia;;BEHAVIORAL;1;;5;kHz;65;;;;;;extracted;;BEHAVIORAL;
1;P051;Hyla cinerea;green treefrog;Hyla ;Hylidae;Anura;Amphibia;;BEHAVIORAL;1;;5,5;kHz;69;;;;;;extracted;;BEHAVIORAL;
1;P069;Cycnia tenera;dogbane tiger moth;Cycnia ;Erebidae;Lepidoptera;Insecta;;BEHAVIORAL;1;;20;kHz;87,2;;;;;;extracted;;BEHAVIORAL;
1;P069;Cycnia tenera;dogbane tiger moth;Cycnia ;Erebidae;Lepidoptera;Insecta;;BEHAVIORAL;1;;30;kHz;77,1;;;;;;extracted;;BEHAVIORAL;
1;P069;Cycnia tenera;dogbane tiger moth;Cycnia ;Erebidae;Lepidoptera;Insecta;;BEHAVIORAL;1;;33;kHz;70,7;;;;;;extracted;;BEHAVIORAL;
1;P069;Cycnia tenera;dogbane tiger moth;Cycnia ;Erebidae;Lepidoptera;Insecta;;BEHAVIORAL;1;;36;kHz;68,7;;;;;;extracted;;BEHAVIORAL;
1;P069;Cycnia tenera;dogbane tiger moth;Cycnia ;Erebidae;Lepidoptera;Insecta;;BEHAVIORAL;1;;40;kHz;69,3;;;;;;extracted;;BEHAVIORAL;
1;P069;Cycnia tenera;dogbane tiger moth;Cycnia ;Erebidae;Lepidoptera;Insecta;;BEHAVIORAL;1;;44;kHz;71,9;;;;;;extracted;;BEHAVIORAL;
1;P069;Cycnia tenera;dogbane tiger moth;Cycnia ;Erebidae;Lepidoptera;Insecta;;BEHAVIORAL;1;;45;kHz;67;;;;;;extracted;;BEHAVIORAL;
1;P069;Cycnia tenera;dogbane tiger moth;Cycnia ;Erebidae;Lepidoptera;Insecta;;BEHAVIORAL;1;;50;kHz;66,7;;;;;;extracted;;BEHAVIORAL;
1;P069;Cycnia tenera;dogbane tiger moth;Cycnia ;Erebidae;Lepidoptera;Insecta;;BEHAVIORAL;1;;55;kHz;71,6;;;;;;extracted;;BEHAVIORAL;
1;P069;Cycnia tenera;dogbane tiger moth;Cycnia ;Erebidae;Lepidoptera;Insecta;;BEHAVIORAL;1;;60;kHz;69,6;;;;;;extracted;;BEHAVIORAL;
1;P069;Cycnia tenera;dogbane tiger moth;Cycnia ;Erebidae;Lepidoptera;Insecta;;BEHAVIORAL;1;;63;kHz;74,5;;;;;;extracted;;BEHAVIORAL;
1;P069;Cycnia tenera;dogbane tiger moth;Cycnia ;Erebidae;Lepidoptera;Insecta;;BEHAVIORAL;1;;66;kHz;80;;;;;;extracted;;BEHAVIORAL;
1;P069;Cycnia tenera;dogbane tiger moth;Cycnia ;Erebidae;Lepidoptera;Insecta;;BEHAVIORAL;1;;70;kHz;86,8;;;;;;extracted;;BEHAVIORAL;
1;P069;Cycnia tenera;dogbane tiger moth;Cycnia ;Erebidae;Lepidoptera;Insecta;;BEHAVIORAL;1;;73;kHz;88,6;;;;;;extracted;;BEHAVIORAL;
1;P069;Cycnia tenera;dogbane tiger moth;Cycnia ;Erebidae;Lepidoptera;Insecta;;BEHAVIORAL;1;;75;kHz;87,4;;;;;;extracted;;BEHAVIORAL;
1;P069;Cycnia tenera;dogbane tiger moth;Cycnia ;Erebidae;Lepidoptera;Insecta;;BEHAVIORAL;1;;80;kHz;86,6;;;;;;extracted;;BEHAVIORAL;
1;P069;Cycnia tenera;dogbane tiger moth;Cycnia ;Erebidae;Lepidoptera;Insecta;;BEHAVIORAL;1;;83;kHz;83,4;;;;;;extracted;;BEHAVIORAL;
1;P069;Cycnia tenera;dogbane tiger moth;Cycnia ;Erebidae;Lepidoptera;Insecta;;BEHAVIORAL;1;;85;kHz;82,4;;;;;;extracted;;BEHAVIORAL;
1;P069;Cycnia tenera;dogbane tiger moth;Cycnia ;Erebidae;Lepidoptera;Insecta;;BEHAVIORAL;1;;94;kHz;78,9;;;;;;extracted;;BEHAVIORAL;
1;P069;Cycnia tenera;dogbane tiger moth;Cycnia ;Erebidae;Lepidoptera;Insecta;;BEHAVIORAL;1;;95;kHz;81,8;;;;;;extracted;;BEHAVIORAL;
1;P069;Cycnia tenera;dogbane tiger moth;Cycnia ;Erebidae;Lepidoptera;Insecta;;BEHAVIORAL;1;;96;kHz;82,9;;;;;;extracted;;BEHAVIORAL;
1;P076;Tyto alba;barn owl;Tyto ;Tytonidae;Strigiformes;Aves;;BEHAVIORAL;;;0,1;kHz;10,94;;;;;;extracted;;BEHAVIORAL;
1;P076;Tyto alba;barn owl;Tyto ;Tytonidae;Strigiformes;Aves;;BEHAVIORAL;;;0,2;kHz;10;;;;;;extracted;;BEHAVIORAL;
1;P076;Tyto alba;barn owl;Tyto ;Tytonidae;Strigiformes;Aves;;BEHAVIORAL;;;0,3;kHz;8,43;;;;;;extracted;;BEHAVIORAL;
1;P076;Tyto alba;barn owl;Tyto ;Tytonidae;Strigiformes;Aves;;BEHAVIORAL;;;0,5;kHz;6,54;;;;;;extracted;;BEHAVIORAL;
1;P076;Tyto alba;barn owl;Tyto ;Tytonidae;Strigiformes;Aves;;BEHAVIORAL;;;0,7;kHz;4,65;;;;;;extracted;;BEHAVIORAL;
1;P076;Tyto alba;barn owl;Tyto ;Tytonidae;Strigiformes;Aves;;BEHAVIORAL;;;1;kHz;2,14;;;;;;extracted;;BEHAVIORAL;
1;P076;Tyto alba;barn owl;Tyto ;Tytonidae;Strigiformes;Aves;;BEHAVIORAL;;;1,5;kHz;-2,58;;;;;;extracted;;BEHAVIORAL;
1;P076;Tyto alba;barn owl;Tyto ;Tytonidae;Strigiformes;Aves;;BEHAVIORAL;;;10;kHz;0,25;;;;;;extracted;;BEHAVIORAL;
1;P076;Tyto alba;barn owl;Tyto ;Tytonidae;Strigiformes;Aves;;BEHAVIORAL;;;2;kHz;-6,98;;;;;;extracted;;BEHAVIORAL;
1;P076;Tyto alba;barn owl;Tyto ;Tytonidae;Strigiformes;Aves;;BEHAVIORAL;;;3;kHz;-12,64;;;;;;extracted;;BEHAVIORAL;
1;P076;Tyto alba;barn owl;Tyto ;Tytonidae;Strigiformes;Aves;;BEHAVIORAL;;;4;kHz;-16,42;;;;;;extracted;;BEHAVIORAL;
1;P076;Tyto alba;barn owl;Tyto ;Tytonidae;Strigiformes;Aves;;BEHAVIORAL;;;5,5;kHz;-19,87;;;;;;extracted;;BEHAVIORAL;
1;P076;Tyto alba;barn owl;Tyto ;Tytonidae;Strigiformes;Aves;;BEHAVIORAL;;;7;kHz;-17,36;;;;;;extracted;;BEHAVIORAL;
1;P076;Tyto alba;barn owl;Tyto ;Tytonidae;Strigiformes;Aves;;BEHAVIORAL;;;8;kHz;-12,96;;;;;;extracted;;BEHAVIORAL;
1;P081;Parus major;great tit;Parus ;Paridae;Passeriformes;Aves;;BEHAVIORAL;7;;2000;Hz;6,5;;;;3;10;measured;6,6;BEHAVIORAL;
1;P081;Parus major;great tit;Parus ;Paridae;Passeriformes;Aves;;BEHAVIORAL;7;;250;Hz;32,4;;;;26;37;measured;32,3;BEHAVIORAL;
1;P081;Parus major;great tit;Parus ;Paridae;Passeriformes;Aves;;BEHAVIORAL;7;;4000;Hz;9,1;;;;7;10;measured;9;BEHAVIORAL;
1;P081;Parus major;great tit;Parus ;Paridae;Passeriformes;Aves;;BEHAVIORAL;7;;500;Hz;26,5;;;;26;29;measured;26,4;BEHAVIORAL;
1;P081;Parus major;great tit;Parus ;Paridae;Passeriformes;Aves;;BEHAVIORAL;7;;6500;Hz;12,8;;;;11;15;measured;12,6;BEHAVIORAL;
1;P081;Parus major;great tit;Parus ;Paridae;Passeriformes;Aves;;BEHAVIORAL;7;;8000;Hz;18,1;;;;16;22;measured;18,7;BEHAVIORAL;
1;P086;Oryctolagus cuniculus;rabbit;Oryctolagus ;Leporidae;Lagomorpha;Mammalia;;BEHAVIORAL;;;1000;Hz;11,3;;;;;;extracted;;BEHAVIORAL;
1;P086;Oryctolagus cuniculus;rabbit;Oryctolagus ;Leporidae;Lagomorpha;Mammalia;;BEHAVIORAL;;;15000;Hz;5;;;;;;extracted;;BEHAVIORAL;
1;P086;Oryctolagus cuniculus;rabbit;Oryctolagus ;Leporidae;Lagomorpha;Mammalia;;BEHAVIORAL;;;2000;Hz;4;;;;;;extracted;;BEHAVIORAL;
1;P086;Oryctolagus cuniculus;rabbit;Oryctolagus ;Leporidae;Lagomorpha;Mammalia;;BEHAVIORAL;;;200;Hz;45;;;;;;extracted;;BEHAVIORAL;
1;P086;Oryctolagus cuniculus;rabbit;Oryctolagus ;Leporidae;Lagomorpha;Mammalia;;BEHAVIORAL;;;30000;Hz;22,4;;;;;;extracted;;BEHAVIORAL;
1;P086;Oryctolagus cuniculus;rabbit;Oryctolagus ;Leporidae;Lagomorpha;Mammalia;;BEHAVIORAL;;;50000;Hz;61,5;;;;;;extracted;;BEHAVIORAL;
1;P086;Oryctolagus cuniculus;rabbit;Oryctolagus ;Leporidae;Lagomorpha;Mammalia;;BEHAVIORAL;;;500;Hz;28,1;;;;;;extracted;;BEHAVIORAL;
1;P086;Oryctolagus cuniculus;rabbit;Oryctolagus ;Leporidae;Lagomorpha;Mammalia;;BEHAVIORAL;;;63;Hz;70,2;;;;;;extracted;;BEHAVIORAL;
1;P086;Oryctolagus cuniculus;rabbit;Oryctolagus ;Leporidae;Lagomorpha;Mammalia;;BEHAVIORAL;;;8000;Hz;9,1;;;;;;extracted;;BEHAVIORAL;
1;P093;Gryllus texensis;field cricket;Gryllus ;Gryllidae;Orthoptera;Insecta;;BEHAVIORAL;10;;30;kHz;69;4;4;se;;;extracted;;BEHAVIORAL;long winged cricket
1;P093;Gryllus texensis;field cricket;Gryllus ;Gryllidae;Orthoptera;Insecta;;BEHAVIORAL;10;;5,2;kHz;49,3;4;4;se;;;extracted;;BEHAVIORAL;long winged cricket
1;P093;Gryllus texensis;field cricket;Gryllus ;Gryllidae;Orthoptera;Insecta;;BEHAVIORAL;10;;30;kHz;77;2;2;se;;;extracted;;BEHAVIORAL;short winged cricket
1;P093;Gryllus texensis;field cricket;Gryllus ;Gryllidae;Orthoptera;Insecta;;BEHAVIORAL;10;;5,2;kHz;48,3;2;2;se;;;extracted;;BEHAVIORAL;short winged cricket
1;P122;Ormia ochracea;NA;Ormia ;Tachinidae;Diptera;Insecta;;BEHAVIORAL;;;10,25;kHz;58,87;2;2;se;;;extracted;;BEHAVIORAL;Population hawaii
1;P122;Ormia ochracea;NA;Ormia ;Tachinidae;Diptera;Insecta;;BEHAVIORAL;;;13;kHz;69,41;1;1;se;;;extracted;;BEHAVIORAL;Population hawaii
1;P122;Ormia ochracea;NA;Ormia ;Tachinidae;Diptera;Insecta;;BEHAVIORAL;;;16,25;kHz;69,67;1;1;se;;;extracted;;BEHAVIORAL;Population hawaii
1;P122;Ormia ochracea;NA;Ormia ;Tachinidae;Diptera;Insecta;;BEHAVIORAL;;;2;kHz;77,95;1;1;se;;;extracted;;BEHAVIORAL;Population hawaii
1;P122;Ormia ochracea;NA;Ormia ;Tachinidae;Diptera;Insecta;;BEHAVIORAL;;;2,5;kHz;70,92;2;2;se;;;extracted;;BEHAVIORAL;Population hawaii
1;P122;Ormia ochracea;NA;Ormia ;Tachinidae;Diptera;Insecta;;BEHAVIORAL;;;20,5;kHz;71,67;1;1;se;;;extracted;;BEHAVIORAL;Population hawaii
1;P122;Ormia ochracea;NA;Ormia ;Tachinidae;Diptera;Insecta;;BEHAVIORAL;;;25,8;kHz;70,92;1;1;se;;;extracted;;BEHAVIORAL;Population hawaii
1;P122;Ormia ochracea;NA;Ormia ;Tachinidae;Diptera;Insecta;;BEHAVIORAL;;;3,2;kHz;56,61;2;2;se;;;extracted;;BEHAVIORAL;Population hawaii
1;P122;Ormia ochracea;NA;Ormia ;Tachinidae;Diptera;Insecta;;BEHAVIORAL;;;32,5;kHz;69,92;1;1;se;;;extracted;;BEHAVIORAL;Population hawaii
1;P122;Ormia ochracea;NA;Ormia ;Tachinidae;Diptera;Insecta;;BEHAVIORAL;;;4;kHz;42,55;2;2;se;;;extracted;;BEHAVIORAL;Population hawaii
1;P122;Ormia ochracea;NA;Ormia ;Tachinidae;Diptera;Insecta;;BEHAVIORAL;;;41;kHz;69,16;1;1;se;;;extracted;;BEHAVIORAL;Population hawaii
1;P122;Ormia ochracea;NA;Ormia ;Tachinidae;Diptera;Insecta;;BEHAVIORAL;;;5,1;kHz;34,77;3;3;se;;;extracted;;BEHAVIORAL;Population hawaii
1;P122;Ormia ochracea;NA;Ormia ;Tachinidae;Diptera;Insecta;;BEHAVIORAL;;;6,5;kHz;45,31;2;2;se;;;extracted;;BEHAVIORAL;Population hawaii
1;P122;Ormia ochracea;NA;Ormia ;Tachinidae;Diptera;Insecta;;BEHAVIORAL;;;8,1;kHz;57,11;2;2;se;;;extracted;;BEHAVIORAL;Population hawaii
1;P143;Asio otus;long-eared owl;Asio ;Strigidae;Strigiformes;Aves;;BEHAVIORAL;6;;1000;Hz;-11,3;;;;;;extracted;;BEHAVIORAL;
1;P143;Asio otus;long-eared owl;Asio ;Strigidae;Strigiformes;Aves;;BEHAVIORAL;6;;10000;Hz;36,8;;;;;;extracted;;BEHAVIORAL;
1;P143;Asio otus;long-eared owl;Asio ;Strigidae;Strigiformes;Aves;;BEHAVIORAL;6;;2000;Hz;-15,7;;;;;;extracted;;BEHAVIORAL;
1;P143;Asio otus;long-eared owl;Asio ;Strigidae;Strigiformes;Aves;;BEHAVIORAL;6;;4000;Hz;-20,6;;;;;;extracted;;BEHAVIORAL;
1;P143;Asio otus;long-eared owl;Asio ;Strigidae;Strigiformes;Aves;;BEHAVIORAL;6;;500;Hz;-6,9;;;;;;extracted;;BEHAVIORAL;
1;P143;Asio otus;long-eared owl;Asio ;Strigidae;Strigiformes;Aves;;BEHAVIORAL;6;;6000;Hz;-21,4;;;;;;extracted;;BEHAVIORAL;
1;P143;Asio otus;long-eared owl;Asio ;Strigidae;Strigiformes;Aves;;BEHAVIORAL;6;;8000;Hz;-11;;;;;;extracted;;BEHAVIORAL;
